Source,Text,Class
bitcoin,Copyright (c) 2009-2010 Satoshi Nakamoto,NL
bitcoin,Copyright (c) 2009-2020 The Bitcoin Core developers,NL
bitcoin,"Distributed under the MIT software license, see the accompanying",NL
bitcoin,file COPYING or http://www.opensource.org/licenses/mit-license.php.,NL_CODE
bitcoin,"Write and commit header, data",NL
bitcoin,Generate random temporary filename,NL
bitcoin,"open temp output file, and associate with CAutoFile",NL
bitcoin,Serialize,NL
bitcoin,"replace existing file, if any, with new file",NL
bitcoin,de-serialize file header (network specific magic number) and ..,NL
bitcoin,... verify the network matches ours,NL
bitcoin,de-serialize data,NL
bitcoin,verify checksum,NL
bitcoin,"open input file, and associate with CAutoFile",NL
bitcoin,namespace,NL
bitcoin,Ensure addrman is left in a clean state,NL
bitcoin,Copyright (c) 2012 Pieter Wuille,NL
bitcoin,Copyright (c) 2012-2020 The Bitcoin Core developers,NL
bitcoin,"Distributed under the MIT software license, see the accompanying",NL
bitcoin,file COPYING or http://www.opensource.org/licenses/mit-license.php.,NL_CODE
bitcoin,never remove things tried in the last minute,NL
bitcoin,came in a flying DeLorean,NL
bitcoin,not seen in recent history,NL
bitcoin,tried N times and never a success,NL
bitcoin,N successive failures in the last week,NL
bitcoin,deprioritize very recent attempts away,NL
bitcoin,"deprioritize 66% after each failed attempt, but at most 1/28th to avoid the search taking forever or overly penalizing outages.",NL
bitcoin,"if there is an entry in the specified bucket, delete it.",NL
bitcoin,remove the entry from all new buckets,NL
bitcoin,which tried bucket to move the entry to,NL
bitcoin,"first make space to add it (the existing tried entry there is moved to new, deleting whatever is there).",NL
bitcoin,find an item to evict,NL
bitcoin,Remove the to-be-evicted item from the tried set.,NL
bitcoin,find which new bucket it belongs to,NL
bitcoin,Enter it into the new set again.,NL
bitcoin,"if not found, bail out",NL
bitcoin,check whether we are talking about the exact same CService (including same port),NL
bitcoin,update info,NL
bitcoin,"nTime is not updated here, to avoid leaking information about",NL
bitcoin,currently-connected peers.,NL
bitcoin,"if it is already in the tried set, don't do anything else",NL
bitcoin,find a bucket it is in now,NL
bitcoin,"if no bucket is found, something bad happened;",NL
bitcoin,"TODO: maybe re-add the node, but for now, just bail out",NL
bitcoin,which tried bucket to move the entry to,NL
bitcoin,Will moving this address into tried evict another entry?,NL
bitcoin,"Output the entry we'd be colliding with, for debugging purposes",NL
bitcoin,move nId to the tried tables,NL
bitcoin,Do not set a penalty for a source's self-announcement,NL
bitcoin,periodically update nTime,NL
bitcoin,add services,NL
bitcoin,do not update if no new information is present,NL
bitcoin,"do not update if the entry was already in the ""tried"" table",NL
bitcoin,do not update if the max reference count is reached,NL
bitcoin,stochastic test: previous nRefCount == N: 2^N times harder to increase it,NL_CODE
bitcoin,Overwrite the existing new table entry.,NL
bitcoin,"if not found, bail out",NL
bitcoin,check whether we are talking about the exact same CService (including same port),NL_CODE
bitcoin,update info,NL
bitcoin,Use a 50% chance for choosing between tried and new table entries.,NL
bitcoin,use a tried node,NL
bitcoin,use a new node,NL
bitcoin,"gather a list of random nodes, skipping those of low quality",NL
bitcoin,Filter by network (optional),NL
bitcoin,Filter for quality,NL
bitcoin,"if not found, bail out",NL
bitcoin,check whether we are talking about the exact same CService (including same port),NL_CODE
bitcoin,update info,NL
bitcoin,"if not found, bail out",NL
bitcoin,check whether we are talking about the exact same CService (including same port),NL_CODE
bitcoin,update info,NL
bitcoin,If id_new not found in mapInfo remove it from m_tried_collisions,NL_CODE
bitcoin,Which tried bucket to move the entry to.,NL
bitcoin,id_new may no longer map to a valid address,NL
bitcoin,The position in the tried bucket is not empty,NL
bitcoin,Get the to-be-evicted address that is being tested,NL
bitcoin,Has successfully connected in last X hours,NL
bitcoin,attempted to connect and failed in last X hours,NL
bitcoin,Give address at least 60 seconds to successfully connect,NL
bitcoin,Replaces an existing address already in the tried table with the new address,NL
bitcoin,"If the collision hasn't resolved in some reasonable amount of time,",NL
bitcoin,just evict the old entry -- we must not be able to,NL
bitcoin,connect to it for some reason.,NL
bitcoin,Collision is not actually a collision anymore,NL
bitcoin,Selects a random element from m_tried_collisions,NL
bitcoin,If id_new not found in mapInfo remove it from m_tried_collisions,NL
bitcoin,which tried bucket to move the entry to,NL
bitcoin,Copyright (c) 2009-2010 Satoshi Nakamoto,NL
bitcoin,Copyright (c) 2009-2019 The Bitcoin Core developers,NL
bitcoin,"Distributed under the MIT software license, see the accompanying",NL
bitcoin,file COPYING or http://www.opensource.org/licenses/mit-license.php.,NL_CODE
bitcoin,"make a copy, so we can shift.",NL
bitcoin,"make a copy, so we can subtract.",NL
bitcoin,the quotient.,NL
bitcoin,the result is certainly 0.,NL
bitcoin,shift so that div and num align.,NL
bitcoin,set a bit of the result.,NL
bitcoin,shift back.,NL
bitcoin,num now contains the remainder of the division.,NL
bitcoin,Explicit instantiations for base_uint<256>,NL_CODE
bitcoin,This implementation directly uses shifts instead of going,NL
bitcoin,through an intermediate MPI representation.,NL
bitcoin,The 0x00800000 bit denotes the sign.,NL_CODE
bitcoin,"Thus, if it is already set, divide the mantissa by 256 and increase the exponent.",NL
bitcoin,Copyright (c) 2009-2010 Satoshi Nakamoto,NL
bitcoin,Copyright (c) 2009-2020 The Bitcoin Core developers,NL
bitcoin,"Distributed under the MIT software license, see the accompanying",NL
bitcoin,file COPYING or http://www.opensource.org/licenses/mit-license.php.,NL_CODE
bitcoin,thread save setter,NL
bitcoin,"no need to write down, just read data",NL
bitcoin,sweep out unused entries,NL
bitcoin,force write,NL
bitcoin,clean unused entries (if bantime has expired),NL
bitcoin,store banlist to disk,NL
bitcoin,store banlist to disk immediately,NL
bitcoin,store banlist to disk immediately,NL
bitcoin,Sweep the banlist so expired bans are not returned,NL
bitcoin,create a thread safe copy,NL
bitcoin,update UI,NL
bitcoin,reuse m_banned lock for the m_is_dirty flag,NL_CODE
