ID,Class,Text
1,1,Copyright (c) 2009-2010 Satoshi Nakamoto
2,1,Copyright (c) 2009-2020 The Bitcoin Core developers
3,1,"Distributed under the MIT software license, see the accompanying"
4,5,file COPYING or http://www.opensource.org/licenses/mit-license.php.
5,1,"Write and commit header, data"
6,1,Generate random temporary filename
7,1,"open temp output file, and associate with CAutoFile"
8,1,Serialize
9,1,"replace existing file, if any, with new file"
10,1,de-serialize file header (network specific magic number) and ..
11,1,... verify the network matches ours
12,1,de-serialize data
13,1,verify checksum
14,1,"open input file, and associate with CAutoFile"
15,1,namespace
16,1,Ensure addrman is left in a clean state
17,1,Copyright (c) 2012 Pieter Wuille
18,1,Copyright (c) 2012-2020 The Bitcoin Core developers
19,1,"Distributed under the MIT software license, see the accompanying"
20,5,file COPYING or http://www.opensource.org/licenses/mit-license.php.
21,1,never remove things tried in the last minute
22,1,came in a flying DeLorean
23,1,not seen in recent history
24,1,tried N times and never a success
25,1,N successive failures in the last week
26,1,deprioritize very recent attempts away
27,1,"deprioritize 66% after each failed attempt, but at most 1/28th to avoid the search taking forever or overly penalizing outages."
28,1,"if there is an entry in the specified bucket, delete it."
29,1,remove the entry from all new buckets
30,1,which tried bucket to move the entry to
31,1,"first make space to add it (the existing tried entry there is moved to new, deleting whatever is there)."
32,1,find an item to evict
33,1,Remove the to-be-evicted item from the tried set.
34,1,find which new bucket it belongs to
35,1,Enter it into the new set again.
36,1,"if not found, bail out"
37,1,check whether we are talking about the exact same CService (including same port)
38,1,update info
39,1,"nTime is not updated here, to avoid leaking information about"
40,1,currently-connected peers.
41,1,"if it is already in the tried set, don't do anything else"
42,1,find a bucket it is in now
43,1,"if no bucket is found, something bad happened;"
44,1,"TODO: maybe re-add the node, but for now, just bail out"
45,1,which tried bucket to move the entry to
46,1,Will moving this address into tried evict another entry?
47,1,"Output the entry we'd be colliding with, for debugging purposes"
48,1,move nId to the tried tables
49,1,Do not set a penalty for a source's self-announcement
50,1,periodically update nTime
51,1,add services
52,1,do not update if no new information is present
53,1,"do not update if the entry was already in the ""tried"" table"
54,1,do not update if the max reference count is reached
55,5,stochastic test: previous nRefCount == N: 2^N times harder to increase it
56,1,Overwrite the existing new table entry.
57,1,"if not found, bail out"
58,5,check whether we are talking about the exact same CService (including same port)
59,1,update info
60,1,Use a 50% chance for choosing between tried and new table entries.
61,1,use a tried node
62,1,use a new node
63,1,"gather a list of random nodes, skipping those of low quality"
64,1,Filter by network (optional)
65,1,Filter for quality
66,1,"if not found, bail out"
67,5,check whether we are talking about the exact same CService (including same port)
68,1,update info
69,1,"if not found, bail out"
70,5,check whether we are talking about the exact same CService (including same port)
71,1,update info
72,5,If id_new not found in mapInfo remove it from m_tried_collisions
73,1,Which tried bucket to move the entry to.
74,1,id_new may no longer map to a valid address
75,1,The position in the tried bucket is not empty
76,1,Get the to-be-evicted address that is being tested
77,1,Has successfully connected in last X hours
78,1,attempted to connect and failed in last X hours
79,1,Give address at least 60 seconds to successfully connect
80,1,Replaces an existing address already in the tried table with the new address
81,1,"If the collision hasn't resolved in some reasonable amount of time,"
82,1,just evict the old entry -- we must not be able to
83,1,connect to it for some reason.
84,1,Collision is not actually a collision anymore
85,1,Selects a random element from m_tried_collisions
86,1,If id_new not found in mapInfo remove it from m_tried_collisions
87,1,which tried bucket to move the entry to
88,1,Copyright (c) 2009-2010 Satoshi Nakamoto
89,1,Copyright (c) 2009-2019 The Bitcoin Core developers
90,1,"Distributed under the MIT software license, see the accompanying"
91,5,file COPYING or http://www.opensource.org/licenses/mit-license.php.
92,1,"make a copy, so we can shift."
93,1,"make a copy, so we can subtract."
94,1,the quotient.
95,1,the result is certainly 0.
96,1,shift so that div and num align.
97,1,set a bit of the result.
98,1,shift back.
99,1,num now contains the remainder of the division.
100,5,Explicit instantiations for base_uint<256>
101,1,This implementation directly uses shifts instead of going
