ID,Class,Text
1,1,1.0.6 but preferable the newer Deer Park Alpha builds.
2,1,I produced something along the lines of a test case for this at
3,1,"attribute minimization. XML dictates selected=""selected""."
4,4,User Agent: Mozilla/5.0 (Mobile; rv:33.0) Gecko/33.0 Firefox/33.0
5,2,"<option value=""manage_addProduct/KnowledgeKit/HOWTO_factory"">HOW-TO</option>"
6,4,"Error: uncaught exception: [Exception... ""'[JavaScript Error: ""aTabs[ex - 1] is undefined"" {file: ""file:///home/tim/workspace/mozilla-central/objdir-ff-release/dist/bin/components/nsSessionStore.js"" line: 2459}]' when calling method: [nsISessionStore::undoCloseTab]""  nsresult: ""0x80570021 (NS_ERROR_XPC_JAVASCRIPT_ERROR_WITH_DETAILS)""  location: ""JS frame :: chrome://browser/content/browser.js :: undoCloseTab :: line 11989""  data: yes]"
7,1,and there's no plug-in to handle it the value should fallback to some default
8,1,bryner:
9,1,from it out instead
10,2,"topcrash+, zt4newcrash, dataloss."
11,5,"I was trying to match the prototype of the existing HTMLCanvasElement::ExtractData method as closely as possible, but I can change this if you'd like. I'd have to change the callers a bit, but this wouldn't be a problem."
12,1,"Plenty of free memory and swap, no processor problems."
13,1,"display on top of each other""."
14,1,"Reporter, do you still see this problem with the latest Firefox 2? If not, can you please close this bug as WORKSFORME. Thanks!"
15,2,#2  0x4018a1be in PR_WaitCondVar ()
16,1,Most dictionary consumers expect that extra properties would be ignored as WebIDL currently spec'ed. The semantic of MediaStreamOptions contradicts their expectations.
17,1,forgot to add mlk to kwords
18,5,1) Verified in mfcEmbed.  nsIWebBrowserChrome::CreateBrowserWindow() is no
19,1,"or invalid entity), it is very difficult to track down the problem"
20,2,"EAX(tm) 2.0 Listen/Src: No, No"
21,1,"(It has problems with high CPU usage on display of Speedread page, but that's for their developers to tackle)"
22,1,"Hi Patrick,"
23,1,Steps to reproduce:
24,2,-----------------------------------------------------------------
25,1,The style is correct and I'm not an X-head. Reassigned to pollmann.
26,1,r+ if event name is changed and unit test for nfcmanager part
27,1,"with this, allowing the user to select the unit to be prefixed can result in a"
28,2,nsTableOuterFrame::Reflow()
29,3,at Server.EventEmitter.emit (events.js:92:17)
30,1,"Fwiw, I tested dbaron's patch with various themes on Linux and I couldn't"
31,2,09:47:58     INFO -      rax = 0x0000000000000000   rdx = 0x0000000000000000
32,1,"^ we could do something stupid here, in which case we'll later violate xpcom"
33,1,"You'll need to update Thunderbird or file a bug and notify them of the change as well, of course."
34,1,"Typing in wikipedia, placing the cursor in the main editing textbox causes typing to appear in the edit summary textbox, and vice=versa"
35,2,Safe Mode: false
36,1,Is you point your nightly build (my case: 2000100308) to that page there is some
37,2,Gecko Version          45.0a1
38,2,"},"
39,5,"tree at the start of nsCSSFrameConstructor::ContentRemoved(), the child"
40,1,"Ulrich, if this isn't in your current code, I can probably make a tip build available for you more or less soonish. Let me know."
41,2,https://hg.mozilla.org/integration/b2g-inbound/rev/cf4a85de7c0e
42,1,"about, esp. if you are always talking about Compose window or the display of the"
43,2,"/cvsroot/mozilla/xpcom/base/Makefile.in,v  <--  Makefile.in"
44,1,"Now, high resolution scrolling was disabled by bug 657865 due to many regressions. This bug tracks the regressions which must be fixed before re-enabling it."
45,2,"45 	libobjc.A.dylib 	libobjc.A.dylib@0x70ae"
46,4,21:38:25     INFO -  4189 INFO TEST-PASS | dom/tests/mochitest/general/test_performance_timeline.html | The number of PerformanceMeasure entries should be 1.
47,1,"On OS X (10.1.5+), tabbing in forms behaved exactly as expected - and as in IE -"
48,1,"- After this do-while loop, replace the ""return true"" with:"
49,1,We already have a newer version in the tree
50,1,No code change so marking WFM
